size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
50000,0.2,0.5,sports,,,0.2,38.5,4695.46,5127.15,50
50000,0.2,2.0,greenway,,,0.12,31.5,4641.3,5025.09,50
50000,0.2,2.0,recreation,,,0.14,30.0,5079.23,4932.12,50
50000,0.2,2.0,sports,,,0.18,36.0,4975.46,4957.14,50
50000,0.2,4.0,greenway,,,0.16,27.5,5035.15,4850.95,50
50000,0.2,4.0,recreation,,,0.14,30.0,4607.91,4871.56,50
50000,0.2,4.0,sports,,,0.18,32.0,5338.72,5041.34,50
50000,0.4,0.5,greenway,,,0.2,33.5,5440.47,4889.11,50
50000,0.4,0.5,recreation,,,0.1,31.0,5185.25,4947.02,50
50000,0.4,0.5,sports,,,0.18,34.0,4698.72,4580.48,50
50000,0.4,2.0,greenway,,,0.16,27.5,4925.3,4822.79,50
50000,0.4,2.0,recreation,,,0.16,30.5,5373.79,5031.38,50
50000,0.4,2.0,sports,,,0.2,31.5,4736.4,4992.52,50
50000,0.4,4.0,greenway,,,0.06,26.0,5188.24,5039.54,50
50000,0.4,4.0,recreation,,,0.24,29.5,4652.45,5127.67,50
50000,0.4,4.0,sports,,,0.06,30.0,4969.31,5082.16,50
50000,0.6,0.5,greenway,,,0.14,31.0,4556.47,5222.84,50
50000,0.6,0.5,recreation,,,0.24,32.0,4507.84,4960.67,50
50000,0.6,0.5,sports,,,0.12,33.0,5260.47,4788.7,50
50000,0.6,2.0,greenway,,,0.18,28.0,4718.52,4978.43,50
50000,0.6,2.0,recreation,,,0.28,27.0,5074.76,4938.03,50
50000,0.6,2.0,sports,,,0.26,31.0,5205.31,4984.67,50
50000,0.6,4.0,greenway,,,0.18,26.0,5257.34,5046.83,50
50000,0.6,4.0,recreation,,,0.18,27.0,4718.79,4826.85,50
50000,0.6,4.0,sports,,,0.26,27.0,4700.14,4920.77,50
50000,0.8,0.5,greenway,,,0.1,30.0,4305.88,4790.74,50
50000,0.8,0.5,recreation,,,0.16,33.5,4950.04,5099.43,50
50000,0.8,0.5,sports,,,0.24,33.5,5427.24,5036.3,50
50000,0.8,2.0,greenway,,,0.12,26.5,5507.04,5091.95,50
50000,0.8,2.0,recreation,,,0.14,26.0,4477.19,4702.41,50
50000,0.8,2.0,sports,,,0.24,31.5,5221.34,5221.67,50
50000,0.8,4.0,greenway,,,0.16,25.5,4606.75,4763.69,50
50000,0.8,4.0,recreation,,,0.12,25.0,4590.75,4629.82,50
50000,0.8,4.0,sports,,,0.18,29.0,4787.79,5230.99,50
100000,0.2,0.5,greenway,,,0.16,33.5,4649.87,4943.57,50
100000,0.2,0.5,recreation,,,0.12,32.0,4474.0,4726.24,50
100000,0.2,0.5,sports,,,0.12,32.5,4532.19,4795.07,50
100000,0.2,2.0,greenway,,,0.2,31.0,4808.27,4895.36,50
100000,0.2,2.0,recreation,,,0.24,30.5,4633.84,4872.65,50
100000,0.2,2.0,sports,,,0.2,33.5,4691.12,5034.29,50
100000,0.2,4.0,greenway,,,0.12,28.0,5421.82,5078.42,50
100000,0.2,4.0,recreation,,,0.18,30.0,4708.93,4858.62,50
100000,0.2,4.0,sports,,,0.12,31.5,4676.87,4919.65,50
100000,0.4,0.5,greenway,,,0.22,31.0,5088.74,4900.8,50
100000,0.4,0.5,recreation,,,0.16,34.0,5364.19,5225.95,50
100000,0.4,0.5,sports,,,0.14,34.0,5146.46,5022.31,50
100000,0.4,2.0,greenway,,,0.14,32.0,4885.85,5068.8,50
100000,0.4,2.0,recreation,,,0.16,32.5,4665.36,5035.81,50
100000,0.4,2.0,sports,,,0.12,31.0,5167.72,5046.79,50
100000,0.4,4.0,greenway,,,0.12,29.5,4904.53,4970.66,50
100000,0.4,4.0,recreation,,,0.26,27.0,5503.99,5064.57,50
100000,0.4,4.0,sports,,,0.2,30.0,4468.22,5239.86,50
100000,0.6,0.5,greenway,,,0.26,30.0,4752.09,4744.71,50
100000,0.6,0.5,recreation,,,0.28,30.5,4891.44,4947.39,50
100000,0.6,0.5,sports,,,0.18,32.0,4844.06,4978.05,50
100000,0.6,2.0,greenway,,,0.2,28.5,4584.79,5184.34,50
100000,0.6,2.0,recreation,,,0.08,27.0,4338.0,4900.6,50
100000,0.6,2.0,sports,,,0.16,31.5,4549.42,4926.98,50
100000,0.6,4.0,greenway,,,0.12,25.0,4322.54,4840.86,50
100000,0.6,4.0,recreation,,,0.24,28.0,5222.13,4935.85,50
100000,0.6,4.0,sports,,,0.06,30.0,4864.63,5239.99,50
100000,0.8,0.5,greenway,,,0.24,28.5,5451.41,5020.51,50
100000,0.8,0.5,recreation,,,0.16,30.0,5312.29,4914.91,50
100000,0.8,0.5,sports,,,0.24,31.5,4707.26,4989.47,50
100000,0.8,2.0,greenway,,,0.28,26.0,5124.84,4859.29,50
100000,0.8,2.0,recreation,,,0.2,27.0,5312.62,4883.82,50
100000,0.8,2.0,sports,,,0.16,32.0,5098.4,5184.05,50
100000,0.8,4.0,greenway,,,0.2,27.0,4506.46,5015.19,50
100000,0.8,4.0,recreation,,,0.14,27.0,4759.6,4876.94,50
100000,0.8,4.0,sports,,,0.16,26.5,4965.26,4990.92,50
