size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
50000,0.2,0.5,sports,,,0.1,36.5,5107.93,4865.95,100
50000,0.2,2.0,greenway,,,0.16,31.0,4543.96,4888.76,100
50000,0.2,2.0,recreation,,,0.21,32.0,4512.52,4799.53,100
50000,0.2,2.0,sports,,,0.19,34.0,4791.71,4880.14,100
50000,0.2,4.0,greenway,,,0.17,30.0,5906.75,5025.78,100
50000,0.2,4.0,recreation,,,0.23,31.0,4970.82,5108.45,100
50000,0.2,4.0,sports,,,0.21,32.0,5408.48,5040.34,100
50000,0.4,0.5,greenway,,,0.15,34.0,4865.85,5058.74,100
50000,0.4,0.5,recreation,,,0.17,31.0,5594.81,4937.8,100
50000,0.4,0.5,sports,,,0.17,35.0,5892.4,4912.76,100
50000,0.4,2.0,greenway,,,0.14,32.5,4205.86,4957.76,100
50000,0.4,2.0,recreation,,,0.19,29.0,4906.51,4791.23,100
50000,0.4,2.0,sports,,,0.22,32.0,4998.66,4962.29,100
50000,0.4,4.0,greenway,,,0.17,26.0,4951.36,4883.0,100
50000,0.4,4.0,recreation,,,0.19,28.0,4485.96,5065.51,100
50000,0.4,4.0,sports,,,0.18,29.0,5351.08,4916.86,100
50000,0.6,0.5,greenway,,,0.18,30.5,4721.9,5026.84,100
50000,0.6,0.5,recreation,,,0.13,31.0,5136.69,4785.86,100
50000,0.6,0.5,sports,,,0.18,33.0,5540.73,4865.48,100
50000,0.6,2.0,greenway,,,0.19,30.0,4991.07,5087.82,100
50000,0.6,2.0,recreation,,,0.14,30.0,5519.87,4917.54,100
50000,0.6,2.0,sports,,,0.14,30.5,4916.96,4852.25,100
50000,0.6,4.0,greenway,,,0.15,24.0,4634.85,4889.07,100
50000,0.6,4.0,recreation,,,0.12,26.5,5057.18,4988.11,100
50000,0.6,4.0,sports,,,0.17,31.0,5370.56,5128.06,100
50000,0.8,0.5,greenway,,,0.16,30.0,4931.43,4982.14,100
50000,0.8,0.5,recreation,,,0.17,29.0,4992.32,4782.94,100
50000,0.8,0.5,sports,,,0.11,34.0,4378.67,5035.66,100
50000,0.8,2.0,greenway,,,0.12,26.5,4852.06,4887.29,100
50000,0.8,2.0,recreation,,,0.22,28.0,4843.69,4872.82,100
50000,0.8,2.0,sports,,,0.18,31.0,4954.78,4941.06,100
50000,0.8,4.0,greenway,,,0.18,25.0,4575.61,4735.38,100
50000,0.8,4.0,recreation,,,0.2,26.0,4527.35,5053.59,100
50000,0.8,4.0,sports,,,0.2,27.5,5022.17,5121.23,100
100000,0.2,0.5,greenway,,,0.19,33.0,4286.06,4892.86,100
100000,0.2,0.5,recreation,,,0.17,34.0,4531.13,4916.11,100
100000,0.2,0.5,sports,,,0.17,37.0,4967.69,5118.35,100
100000,0.2,2.0,greenway,,,0.2,32.0,4673.04,4847.42,100
100000,0.2,2.0,recreation,,,0.16,30.0,4969.42,4828.12,100
100000,0.2,2.0,sports,,,0.17,33.0,5068.46,5072.36,100
100000,0.2,4.0,greenway,,,0.16,29.0,4639.77,4988.4,100
100000,0.2,4.0,recreation,,,0.22,30.0,4977.99,4944.11,100
100000,0.2,4.0,sports,,,0.26,30.5,4563.65,4887.51,100
100000,0.4,0.5,greenway,,,0.16,33.0,4836.09,4905.05,100
100000,0.4,0.5,recreation,,,0.18,33.5,5266.62,5077.2,100
100000,0.4,0.5,sports,,,0.15,34.0,4707.32,4815.46,100
100000,0.4,2.0,greenway,,,0.12,27.5,5185.83,4702.79,100
100000,0.4,2.0,recreation,,,0.2,31.0,4517.44,5128.05,100
100000,0.4,2.0,sports,,,0.16,30.0,4648.0,4844.87,100
100000,0.4,4.0,greenway,,,0.19,29.0,4912.83,5020.26,100
100000,0.4,4.0,recreation,,,0.19,28.0,4878.04,5040.34,100
100000,0.4,4.0,sports,,,0.12,30.0,4710.51,4653.1,100
100000,0.6,0.5,greenway,,,0.19,30.0,5455.08,4864.2,100
100000,0.6,0.5,recreation,,,0.14,30.5,4725.91,4874.64,100
100000,0.6,0.5,sports,,,0.12,34.5,5383.9,5056.26,100
100000,0.6,2.0,greenway,,,0.16,26.0,5056.61,4854.41,100
100000,0.6,2.0,recreation,,,0.14,30.0,4538.4,5098.11,100
100000,0.6,2.0,sports,,,0.2,31.0,4751.98,4955.41,100
100000,0.6,4.0,greenway,,,0.23,27.0,4950.95,4953.54,100
100000,0.6,4.0,recreation,,,0.18,26.5,4501.05,5107.12,100
100000,0.6,4.0,sports,,,0.16,27.0,4076.54,4691.92,100
100000,0.8,0.5,greenway,,,0.16,29.5,4662.31,4808.27,100
100000,0.8,0.5,recreation,,,0.16,30.0,5159.12,5026.86,100
100000,0.8,0.5,sports,,,0.14,32.5,4925.6,4965.64,100
100000,0.8,2.0,greenway,,,0.17,29.0,4757.77,5081.93,100
100000,0.8,2.0,recreation,,,0.16,27.0,4768.51,4702.17,100
100000,0.8,2.0,sports,,,0.16,29.5,4925.26,4952.83,100
100000,0.8,4.0,greenway,,,0.19,26.0,5556.09,4867.49,100
100000,0.8,4.0,recreation,,,0.15,26.0,4663.4,4852.55,100
100000,0.8,4.0,sports,,,0.13,28.0,4939.2,4813.88,100
