size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.1,37.0,4338.44,4957.29,30
1000,0.2,0.5,recreation,,,0.17,35.0,4825.0,4937.14,30
1000,0.2,0.5,sports,,,0.27,37.0,4976.21,4998.03,30
1000,0.2,2.0,greenway,,,0.03,29.0,4667.51,4452.33,30
1000,0.2,2.0,recreation,,,0.13,31.5,4472.23,4896.92,30
1000,0.2,2.0,sports,,,0.13,36.0,5120.92,4921.61,30
1000,0.2,4.0,greenway,,,0.23,29.0,4705.19,4905.5,30
1000,0.2,4.0,recreation,,,0.1,32.0,4860.43,5284.06,30
1000,0.2,4.0,sports,,,0.23,35.0,5297.83,5097.78,30
1000,0.4,0.5,greenway,,,0.23,33.0,5400.03,4876.29,30
1000,0.4,0.5,recreation,,,0.13,35.0,4719.6,4766.02,30
1000,0.4,0.5,sports,,,0.0,,4604.19,,30
1000,0.4,2.0,greenway,,,0.27,29.0,5182.38,4894.44,30
1000,0.4,2.0,recreation,,,0.17,32.0,4393.06,5057.08,30
1000,0.4,2.0,sports,,,0.23,32.0,4738.07,4871.17,30
1000,0.4,4.0,greenway,,,0.1,28.0,5634.9,5247.96,30
1000,0.4,4.0,recreation,,,0.27,30.0,5060.9,5034.67,30
1000,0.4,4.0,sports,,,0.1,34.0,4630.44,5099.63,30
1000,0.6,0.5,greenway,,,0.1,33.0,4481.58,5118.71,30
1000,0.6,0.5,recreation,,,0.17,33.0,5408.42,5362.66,30
1000,0.6,0.5,sports,,,0.1,34.0,5197.26,4717.42,30
1000,0.6,2.0,greenway,,,0.2,33.0,5534.3,5228.09,30
1000,0.6,2.0,recreation,,,0.2,32.0,4664.0,5167.5,30
1000,0.6,2.0,sports,,,0.27,31.5,4621.54,4725.38,30
1000,0.6,4.0,greenway,,,0.17,28.0,4833.21,4771.72,30
1000,0.6,4.0,recreation,,,0.13,29.0,5693.76,5029.4,30
1000,0.6,4.0,sports,,,0.07,32.0,5121.01,4814.0,30
1000,0.8,0.5,greenway,,,0.13,30.5,4837.91,4648.36,30
1000,0.8,0.5,recreation,,,0.3,30.0,4115.76,4963.88,30
1000,0.8,0.5,sports,,,0.2,33.5,5236.79,5061.36,30
1000,0.8,2.0,greenway,,,0.2,27.0,4326.01,5114.59,30
1000,0.8,2.0,recreation,,,0.23,26.0,5099.4,4923.25,30
1000,0.8,2.0,sports,,,0.2,28.5,5247.67,4690.92,30
1000,0.8,4.0,greenway,,,0.2,25.0,5265.88,4852.24,30
1000,0.8,4.0,recreation,,,0.17,29.0,4781.22,5073.78,30
1000,0.8,4.0,sports,,,0.2,26.5,4623.08,4517.6,30
10000,0.2,0.5,greenway,,,0.23,33.0,4883.68,4848.32,30
10000,0.2,0.5,recreation,,,0.07,36.0,4804.0,4951.25,30
10000,0.2,0.5,sports,,,0.2,38.5,5000.43,5087.81,30
10000,0.2,2.0,greenway,,,0.17,30.0,4456.0,5018.47,30
10000,0.2,2.0,recreation,,,0.27,30.5,4710.75,5193.44,30
10000,0.2,2.0,sports,,,0.17,34.0,4206.25,4834.57,30
10000,0.2,4.0,greenway,,,0.13,30.0,4840.91,5026.81,30
10000,0.2,4.0,recreation,,,0.17,28.0,5048.2,5055.72,30
10000,0.2,4.0,sports,,,0.17,34.0,4437.06,5043.17,30
10000,0.4,0.5,greenway,,,0.2,39.0,4929.24,5432.2,30
10000,0.4,0.5,recreation,,,0.17,37.0,4334.65,5445.33,30
10000,0.4,0.5,sports,,,0.17,36.0,4923.42,5072.92,30
10000,0.4,2.0,greenway,,,0.03,26.0,4551.16,4595.8,30
10000,0.4,2.0,recreation,,,0.17,30.0,4568.91,4599.56,30
10000,0.4,2.0,sports,,,0.17,33.0,4376.63,5135.98,30
10000,0.4,4.0,greenway,,,0.1,31.0,5802.41,4663.41,30
10000,0.4,4.0,recreation,,,0.13,31.5,5310.45,4979.32,30
10000,0.4,4.0,sports,,,0.17,27.0,4873.93,5113.76,30
10000,0.6,0.5,greenway,,,0.3,33.0,5280.58,5152.2,30
10000,0.6,0.5,recreation,,,0.13,29.5,4636.41,4831.84,30
10000,0.6,0.5,sports,,,0.2,35.0,5279.26,4807.35,30
10000,0.6,2.0,greenway,,,0.17,27.0,4796.16,4815.57,30
10000,0.6,2.0,recreation,,,0.1,29.0,4671.69,5028.31,30
10000,0.6,2.0,sports,,,0.07,31.0,5081.36,5057.54,30
10000,0.6,4.0,greenway,,,0.23,24.0,4247.4,4751.44,30
10000,0.6,4.0,recreation,,,0.03,30.0,4762.58,4464.97,30
10000,0.6,4.0,sports,,,0.17,28.0,5170.78,5112.12,30
10000,0.8,0.5,greenway,,,0.1,30.0,5311.01,4877.95,30
10000,0.8,0.5,recreation,,,0.23,30.0,4851.49,4909.63,30
10000,0.8,0.5,sports,,,0.1,35.0,4968.32,5333.03,30
10000,0.8,2.0,greenway,,,0.13,29.5,4242.62,5042.14,30
10000,0.8,2.0,recreation,,,0.2,30.5,5058.2,5439.25,30
10000,0.8,2.0,sports,,,0.2,32.0,5066.3,5214.04,30
10000,0.8,4.0,greenway,,,0.07,27.0,4867.95,5046.34,30
10000,0.8,4.0,recreation,,,0.17,27.0,5189.26,5244.45,30
10000,0.8,4.0,sports,,,0.17,29.0,4558.23,4919.65,30
50000,0.2,0.5,greenway,,,0.2,33.0,4794.33,4693.07,30
50000,0.2,0.5,recreation,,,0.1,33.0,4615.49,5299.7,30
50000,0.2,0.5,sports,,,0.23,38.0,4943.85,4742.89,30
50000,0.2,2.0,greenway,,,0.1,32.0,4731.42,4845.22,30
50000,0.2,2.0,recreation,,,0.07,32.5,5470.0,4805.68,30
50000,0.2,2.0,sports,,,0.2,32.5,4825.28,4858.7,30
50000,0.2,4.0,greenway,,,0.13,31.0,4822.57,4962.56,30
50000,0.2,4.0,recreation,,,0.13,29.0,4896.2,4733.31,30
50000,0.2,4.0,sports,,,0.2,29.5,4688.03,4868.16,30
50000,0.4,0.5,greenway,,,0.13,32.5,4824.73,5084.41,30
50000,0.4,0.5,recreation,,,0.23,30.0,5370.09,4806.26,30
50000,0.4,0.5,sports,,,0.07,37.5,4449.59,5153.55,30
50000,0.4,2.0,greenway,,,0.2,27.5,5135.5,5273.87,30
50000,0.4,2.0,recreation,,,0.17,32.0,4836.15,4890.09,30
50000,0.4,2.0,sports,,,0.03,35.0,4905.78,5017.39,30
50000,0.4,4.0,greenway,,,0.1,27.0,4228.34,4532.28,30
50000,0.4,4.0,recreation,,,0.07,30.0,4574.9,5079.6,30
50000,0.4,4.0,sports,,,0.13,33.0,5909.92,5180.96,30
50000,0.6,0.5,greenway,,,0.07,29.0,4678.87,4878.8,30
50000,0.6,0.5,recreation,,,0.13,29.5,4655.23,4914.69,30
50000,0.6,0.5,sports,,,0.13,33.5,5067.68,5063.77,30
50000,0.6,2.0,greenway,,,0.1,31.0,4648.02,5314.5,30
50000,0.6,2.0,recreation,,,0.07,32.5,5728.49,5538.05,30
50000,0.6,2.0,sports,,,0.1,33.0,5092.45,4968.13,30
50000,0.6,4.0,greenway,,,0.07,26.5,4920.86,5421.14,30
50000,0.6,4.0,recreation,,,0.13,31.0,4897.25,4926.64,30
50000,0.6,4.0,sports,,,0.2,28.5,4985.41,4833.75,30
50000,0.8,0.5,greenway,,,0.23,30.0,5541.27,4954.6,30
50000,0.8,0.5,recreation,,,0.23,30.0,4992.63,4744.24,30
50000,0.8,0.5,sports,,,0.13,33.0,5069.15,4837.88,30
50000,0.8,2.0,greenway,,,0.13,26.5,4708.72,4948.88,30
50000,0.8,2.0,recreation,,,0.13,31.0,4630.66,5181.83,30
50000,0.8,2.0,sports,,,0.2,27.0,5039.91,4795.93,30
50000,0.8,4.0,greenway,,,0.23,26.0,4444.36,4901.21,30
50000,0.8,4.0,recreation,,,0.1,24.0,4994.59,4742.38,30
50000,0.8,4.0,sports,,,0.13,28.0,4787.51,5205.92,30
100000,0.2,0.5,greenway,,,0.1,33.0,5110.0,4958.15,30
100000,0.2,0.5,recreation,,,0.07,32.5,5092.1,4702.41,30
100000,0.2,0.5,sports,,,0.17,37.0,4292.16,4865.54,30
100000,0.2,2.0,greenway,,,0.3,33.0,4933.05,4893.78,30
100000,0.2,2.0,recreation,,,0.2,30.5,5100.08,4833.74,30
100000,0.2,2.0,sports,,,0.1,33.0,5070.82,4979.99,30
100000,0.2,4.0,greenway,,,0.2,31.0,5775.24,5119.28,30
100000,0.2,4.0,recreation,,,0.2,29.0,4893.96,4704.02,30
100000,0.2,4.0,sports,,,0.3,33.0,4812.02,5122.86,30
100000,0.4,0.5,greenway,,,0.2,33.5,5385.51,5296.55,30
100000,0.4,0.5,recreation,,,0.1,31.0,4787.9,5168.93,30
100000,0.4,0.5,sports,,,0.1,34.0,4767.68,4765.66,30
100000,0.4,2.0,greenway,,,0.23,31.0,4830.28,5074.59,30
100000,0.4,2.0,recreation,,,0.07,27.0,4099.98,4707.1,30
100000,0.4,2.0,sports,,,0.03,35.0,5324.31,5497.36,30
100000,0.4,4.0,greenway,,,0.13,26.0,4938.41,4856.41,30
100000,0.4,4.0,recreation,,,0.17,26.0,5282.75,4698.59,30
100000,0.4,4.0,sports,,,0.27,30.0,4429.11,4769.14,30
100000,0.6,0.5,greenway,,,0.13,30.5,4534.57,4711.97,30
100000,0.6,0.5,recreation,,,0.2,34.0,4529.21,5163.57,30
100000,0.6,0.5,sports,,,0.13,34.0,4699.84,4872.02,30
100000,0.6,2.0,greenway,,,0.1,29.0,4821.75,5063.17,30
100000,0.6,2.0,recreation,,,0.13,30.0,4910.68,5067.88,30
100000,0.6,2.0,sports,,,0.17,30.0,4607.91,4765.92,30
100000,0.6,4.0,greenway,,,0.1,24.0,4815.78,4775.44,30
100000,0.6,4.0,recreation,,,0.23,28.0,5136.32,5012.24,30
100000,0.6,4.0,sports,,,0.2,27.0,4721.67,5065.79,30
100000,0.8,0.5,greenway,,,0.13,28.0,4657.53,4662.08,30
100000,0.8,0.5,recreation,,,0.1,29.0,5185.25,4971.63,30
100000,0.8,0.5,sports,,,0.13,30.0,5020.88,4660.59,30
100000,0.8,2.0,greenway,,,0.07,27.5,5373.79,5030.86,30
100000,0.8,2.0,recreation,,,0.27,29.5,4499.23,4844.0,30
100000,0.8,2.0,sports,,,0.17,30.0,4701.11,4869.79,30
100000,0.8,4.0,greenway,,,0.07,21.5,4579.97,4550.42,30
100000,0.8,4.0,recreation,,,0.23,25.0,5243.79,5232.57,30
100000,0.8,4.0,sports,,,0.3,28.0,4838.94,4965.43,30
