size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.1,34.0,4472.7,4965.24,10
1000,0.2,0.5,recreation,,,0.3,38.0,4444.96,4937.14,10
1000,0.2,0.5,sports,,,0.1,36.0,5198.41,4892.0,10
1000,0.2,2.0,greenway,,,0.3,32.0,4711.83,4615.44,10
1000,0.2,2.0,recreation,,,0.3,33.0,4351.19,5001.64,10
1000,0.2,2.0,sports,,,0.2,34.0,5023.88,4626.1,10
1000,0.2,4.0,greenway,,,0.1,32.0,4900.75,4961.27,10
1000,0.2,4.0,recreation,,,0.1,29.0,5173.52,4754.99,10
1000,0.2,4.0,sports,,,0.1,36.0,4862.23,5381.5,10
1000,0.4,0.5,greenway,,,0.1,31.0,4386.58,5292.96,10
1000,0.4,0.5,recreation,,,0.1,33.0,4472.23,4783.99,10
1000,0.4,0.5,sports,,,0.2,37.0,5364.82,4882.0,10
1000,0.4,2.0,greenway,,,0.1,28.0,4603.41,4678.95,10
1000,0.4,2.0,recreation,,,0.3,37.0,5011.72,5179.01,10
1000,0.4,2.0,sports,,,0.0,,5530.36,,10
1000,0.4,4.0,greenway,,,0.0,,5568.95,,10
1000,0.4,4.0,recreation,,,0.0,,4743.35,,10
1000,0.4,4.0,sports,,,0.1,29.0,4421.08,4476.78,10
1000,0.6,0.5,greenway,,,0.0,,5077.85,,10
1000,0.6,0.5,recreation,,,0.1,34.0,4860.43,5306.05,10
1000,0.6,0.5,sports,,,0.2,35.5,4877.43,5221.9,10
1000,0.6,2.0,greenway,,,0.3,32.0,5034.77,5111.26,10
1000,0.6,2.0,recreation,,,0.3,30.0,4913.36,5069.71,10
1000,0.6,2.0,sports,,,0.1,39.0,5064.18,5377.12,10
1000,0.6,4.0,greenway,,,0.3,27.0,5088.27,4919.73,10
1000,0.6,4.0,recreation,,,0.3,26.0,4705.19,5028.66,10
1000,0.6,4.0,sports,,,0.1,29.0,4926.35,4826.14,10
1000,0.8,0.5,greenway,,,0.2,31.5,4963.96,4701.42,10
1000,0.8,0.5,recreation,,,0.0,,4422.73,,10
1000,0.8,0.5,sports,,,0.2,33.5,4363.22,4927.05,10
1000,0.8,2.0,greenway,,,0.0,,4291.57,,10
1000,0.8,2.0,recreation,,,0.0,,4658.5,,10
1000,0.8,2.0,sports,,,0.0,,5162.59,,10
1000,0.8,4.0,greenway,,,0.1,26.0,4576.13,4307.17,10
1000,0.8,4.0,recreation,,,0.3,25.0,4479.88,4902.7,10
1000,0.8,4.0,sports,,,0.3,28.0,5021.35,4724.14,10
10000,0.2,0.5,greenway,,,0.3,34.0,4683.12,5109.52,10
10000,0.2,0.5,recreation,,,0.1,30.0,4757.19,5051.07,10
10000,0.2,0.5,sports,,,0.1,38.0,4725.91,4944.94,10
10000,0.2,2.0,greenway,,,0.2,28.5,4149.9,4825.01,10
10000,0.2,2.0,recreation,,,0.3,31.0,4738.07,4563.93,10
10000,0.2,2.0,sports,,,0.2,36.5,5366.5,4969.68,10
10000,0.2,4.0,greenway,,,0.3,27.0,5120.7,5009.15,10
10000,0.2,4.0,recreation,,,0.1,29.0,5166.32,4717.39,10
10000,0.2,4.0,sports,,,0.4,29.0,4702.08,4857.35,10
10000,0.4,0.5,greenway,,,0.3,34.0,5204.92,4643.72,10
10000,0.4,0.5,recreation,,,0.4,33.5,4938.69,5148.55,10
10000,0.4,0.5,sports,,,0.1,36.0,4879.31,5011.1,10
10000,0.4,2.0,greenway,,,0.1,32.0,5115.96,5279.47,10
10000,0.4,2.0,recreation,,,0.0,,4639.32,,10
10000,0.4,2.0,sports,,,0.2,34.5,4949.04,5020.23,10
10000,0.4,4.0,greenway,,,0.0,,5177.39,,10
10000,0.4,4.0,recreation,,,0.2,27.5,5542.65,5296.36,10
10000,0.4,4.0,sports,,,0.1,35.0,4883.72,5147.76,10
10000,0.6,0.5,greenway,,,0.2,31.5,4779.02,5366.52,10
10000,0.6,0.5,recreation,,,0.3,32.0,5408.42,4930.75,10
10000,0.6,0.5,sports,,,0.0,,5576.37,,10
10000,0.6,2.0,greenway,,,0.1,28.0,5164.85,4711.62,10
10000,0.6,2.0,recreation,,,0.2,30.0,4925.31,5098.72,10
10000,0.6,2.0,sports,,,0.0,,4709.16,,10
10000,0.6,4.0,greenway,,,0.2,30.5,5699.42,5062.98,10
