size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.25,34.0,4388.92,4615.73,20
1000,0.2,0.5,recreation,,,0.2,36.5,4987.38,4914.46,20
1000,0.2,0.5,sports,,,0.2,37.5,4472.7,5020.33,20
1000,0.2,2.0,greenway,,,0.15,31.0,4513.66,5037.91,20
1000,0.2,2.0,recreation,,,0.1,34.0,5173.52,5071.81,20
1000,0.2,2.0,sports,,,0.1,35.5,4756.86,4884.0,20
1000,0.2,4.0,greenway,,,0.05,27.0,4628.03,4447.27,20
1000,0.2,4.0,recreation,,,0.15,36.0,4250.46,5180.36,20
1000,0.2,4.0,sports,,,0.05,30.0,5477.54,4698.64,20
1000,0.4,0.5,greenway,,,0.2,36.0,4714.43,5240.4,20
1000,0.4,0.5,recreation,,,0.15,35.0,4860.43,5280.02,20
1000,0.4,0.5,sports,,,0.15,35.0,5403.83,5058.06,20
1000,0.4,2.0,greenway,,,0.2,31.5,4347.89,4769.37,20
1000,0.4,2.0,recreation,,,0.2,30.0,5025.85,4904.38,20
1000,0.4,2.0,sports,,,0.15,33.0,4422.73,4885.74,20
1000,0.4,4.0,greenway,,,0.2,28.0,5472.09,4708.69,20
1000,0.4,4.0,recreation,,,0.0,,4604.19,,20
1000,0.4,4.0,sports,,,0.15,29.0,4479.88,4893.83,20
1000,0.6,0.5,greenway,,,0.2,32.0,5216.06,4948.56,20
1000,0.6,0.5,recreation,,,0.1,31.0,4757.19,4992.34,20
1000,0.6,0.5,sports,,,0.3,33.0,4959.34,4824.08,20
1000,0.6,2.0,greenway,,,0.2,30.5,5584.83,4832.46,20
1000,0.6,2.0,recreation,,,0.25,29.0,5309.03,4707.6,20
1000,0.6,2.0,sports,,,0.35,30.0,5890.21,5065.87,20
1000,0.6,4.0,greenway,,,0.05,32.0,4883.72,5159.8,20
1000,0.6,4.0,recreation,,,0.1,30.0,4646.8,5036.3,20
1000,0.6,4.0,sports,,,0.15,29.0,5294.43,5287.0,20
1000,0.8,0.5,greenway,,,0.05,30.0,4682.34,4704.79,20
1000,0.8,0.5,recreation,,,0.15,31.0,5408.42,4963.01,20
