size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.11,35.0,4913.36,5184.02,75
1000,0.2,0.5,recreation,,,0.19,35.0,4387.62,4963.86,75
1000,0.2,0.5,sports,,,0.13,38.0,5158.92,4986.31,75
1000,0.2,2.0,greenway,,,0.25,32.0,4918.22,4964.43,75
1000,0.2,2.0,recreation,,,0.19,33.0,4937.31,4961.28,75
1000,0.2,2.0,sports,,,0.11,33.5,4604.19,4892.35,75
1000,0.2,4.0,greenway,,,0.16,31.5,4451.13,5064.13,75
1000,0.2,4.0,recreation,,,0.19,32.0,5584.83,5113.63,75
1000,0.2,4.0,sports,,,0.11,32.0,4494.01,5160.92,75
1000,0.4,0.5,greenway,,,0.21,33.0,4347.41,4998.55,75
1000,0.4,0.5,recreation,,,0.2,35.0,5090.06,4992.87,75
1000,0.4,0.5,sports,,,0.13,34.0,4472.71,4790.66,75
1000,0.4,2.0,greenway,,,0.16,31.5,4419.87,4962.11,75
1000,0.4,2.0,recreation,,,0.2,30.0,4797.21,4953.74,75
1000,0.4,2.0,sports,,,0.2,32.0,4781.22,4820.84,75
1000,0.4,4.0,greenway,,,0.16,28.5,4183.01,5100.31,75
1000,0.4,4.0,recreation,,,0.23,28.0,5477.82,5002.51,75
1000,0.4,4.0,sports,,,0.16,30.0,5337.11,4917.38,75
1000,0.6,0.5,greenway,,,0.11,30.0,4945.77,4979.43,75
1000,0.6,0.5,recreation,,,0.17,37.0,4334.65,5301.48,75
1000,0.6,0.5,sports,,,0.19,34.5,4376.63,5039.63,75
1000,0.6,2.0,greenway,,,0.12,29.0,4539.0,5028.32,75
1000,0.6,2.0,recreation,,,0.12,29.0,5077.84,4784.25,75
1000,0.6,2.0,sports,,,0.21,33.0,4697.33,4923.56,75
1000,0.6,4.0,greenway,,,0.15,29.0,4866.29,5084.75,75
1000,0.6,4.0,recreation,,,0.12,29.0,4718.77,5114.88,75
1000,0.6,4.0,sports,,,0.19,28.0,5353.98,4854.91,75
1000,0.8,0.5,greenway,,,0.2,31.0,4480.21,4820.45,75
1000,0.8,0.5,recreation,,,0.17,35.0,5316.56,5193.67,75
1000,0.8,0.5,sports,,,0.11,34.0,5343.39,5021.16,75
1000,0.8,2.0,greenway,,,0.17,28.0,4822.57,4887.49,75
1000,0.8,2.0,recreation,,,0.12,28.0,4951.76,4816.94,75
1000,0.8,2.0,sports,,,0.16,30.0,4435.51,4819.44,75
1000,0.8,4.0,greenway,,,0.12,28.0,4308.58,4777.86,75
1000,0.8,4.0,recreation,,,0.12,28.0,4508.06,4965.42,75
1000,0.8,4.0,sports,,,0.09,27.0,5405.36,5124.98,75
10000,0.2,0.5,greenway,,,0.11,37.0,4472.54,5051.25,75
10000,0.2,0.5,recreation,,,0.12,35.0,4655.23,4956.44,75
10000,0.2,0.5,sports,,,0.08,38.0,4812.25,5043.82,75
10000,0.2,2.0,greenway,,,0.17,32.0,5007.36,4959.77,75
