parameter,mu,mu_star,mu_star_conf,sigma
park_quality,12.4875,33.0375,7.923309465120084,37.10737221049776
park_size,-19.275,29.475,8.466714059829494,29.002597433587507
park_function,8.0625,23.8125,10.3216546505201,32.959492183588026
park_proximity,7.0125,21.1875,8.445357939176604,31.006734731090443
