parameter,mu,mu_star,mu_star_conf,sigma
park_quality,-0.135,0.465,0.10300368944473796,0.5193872908483004
park_function,-0.06,0.2700000000000001,0.11950192664477297,0.3719083078847315
park_size,0.12000000000000002,0.26999999999999996,0.12243394449827541,0.38196169551684805
park_proximity,-0.12000000000000002,0.26999999999999996,0.11773547569372576,0.381961695516848
