parameter,S1,S1_conf,ST,ST_conf
park_quality,0.028658914195279717,0.11833860571387182,0.9908484139544487,0.13888772997806054
park_function,0.008478787739779984,0.12140492959648755,0.901305075804491,0.12664469932418893
