sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
88,34000.00000000001,0.6000000000000001,1.6666666666666667,recreation,0.0,50.0
89,34000.00000000001,0.2,1.6666666666666667,recreation,0.4,20.0
90,1000.0,0.4,4.0,recreation,0.0,50.0
91,1000.0,0.4,4.0,sports,0.2,35.0
92,1000.0,0.8,4.0,sports,0.2,30.0
93,67000.0,0.8,4.0,sports,0.2,16.0
94,67000.0,0.8,1.6666666666666667,sports,0.0,50.0
95,67000.0,0.8,0.5,greenway,0.2,15.0
96,67000.0,0.8,0.5,recreation,0.2,18.0
97,67000.0,0.4,0.5,recreation,0.0,50.0
98,1000.0,0.4,0.5,recreation,0.0,50.0
99,1000.0,0.4,2.833333333333333,recreation,0.2,27.0
