sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
99,10000.0,0.4904537638649345,2.0,sports,0.0,50.0
100,10000.0,0.5708248885348439,2.0,sports,0.4,29.0
101,10000.0,0.5708248885348439,2.0,sports,0.0,50.0
102,10000.0,0.5611811859533191,2.0,sports,0.2,30.0
103,10000.0,0.4942866120487452,2.0,sports,0.2,32.0
104,10000.0,0.5611811859533191,2.0,recreation,0.2,27.0
105,10000.0,0.5611811859533191,2.0,recreation,0.0,50.0
106,10000.0,0.4942866120487452,2.0,sports,0.0,50.0
107,10000.0,0.4942866120487452,2.0,recreation,0.0,50.0
108,10000.0,0.6515211477875711,2.0,greenway,0.2,24.0
109,10000.0,0.7651935854926706,2.0,greenway,0.2,26.0
110,10000.0,0.6515211477875711,2.0,greenway,0.2,22.0
111,10000.0,0.6515211477875711,2.0,greenway,0.4,27.5
112,10000.0,0.7651935854926706,2.0,greenway,0.2,25.0
113,10000.0,0.7651935854926706,2.0,greenway,0.4,27.0
114,10000.0,0.27809392586350445,2.0,recreation,0.0,50.0
115,10000.0,0.2436358716338873,2.0,recreation,0.2,25.0
116,10000.0,0.27809392586350445,2.0,sports,0.2,35.0
117,10000.0,0.27809392586350445,2.0,sports,0.0,50.0
118,10000.0,0.2436358716338873,2.0,recreation,0.2,31.0
119,10000.0,0.2436358716338873,2.0,sports,0.0,50.0
120,10000.0,0.24091870673000815,2.0,greenway,0.0,50.0
121,10000.0,0.3981327878311277,2.0,greenway,0.0,50.0
122,10000.0,0.24091870673000815,2.0,recreation,0.4,29.0
123,10000.0,0.24091870673000815,2.0,recreation,0.4,26.0
124,10000.0,0.3981327878311277,2.0,greenway,0.6,28.0
125,10000.0,0.3981327878311277,2.0,recreation,0.0,50.0
126,10000.0,0.7636970486491919,2.0,recreation,0.2,28.0
127,10000.0,0.6293585497885943,2.0,recreation,0.0,50.0
128,10000.0,0.7636970486491919,2.0,greenway,0.2,30.0
129,10000.0,0.7636970486491919,2.0,greenway,0.0,50.0
130,10000.0,0.6293585497885943,2.0,recreation,0.2,24.0
131,10000.0,0.6293585497885943,2.0,greenway,0.0,50.0
132,10000.0,0.5990052873268724,2.0,sports,0.2,22.0
133,10000.0,0.33967868927866224,2.0,sports,0.2,29.0
134,10000.0,0.5990052873268724,2.0,recreation,0.2,29.0
135,10000.0,0.5990052873268724,2.0,recreation,0.2,27.0
136,10000.0,0.33967868927866224,2.0,sports,0.4,27.0
137,10000.0,0.33967868927866224,2.0,recreation,0.2,27.0
138,10000.0,0.37762898523360494,2.0,sports,0.0,50.0
139,10000.0,0.7065489154309035,2.0,sports,0.2,32.0
140,10000.0,0.37762898523360494,2.0,sports,0.2,28.0
141,10000.0,0.37762898523360494,2.0,sports,0.4,28.0
142,10000.0,0.7065489154309035,2.0,sports,0.0,50.0
143,10000.0,0.7065489154309035,2.0,sports,0.0,50.0
144,10000.0,0.3972208390012384,2.0,greenway,0.2,26.0
145,10000.0,0.28205013610422613,2.0,greenway,0.0,50.0
146,10000.0,0.3972208390012384,2.0,greenway,0.0,50.0
147,10000.0,0.3972208390012384,2.0,greenway,0.0,50.0
148,10000.0,0.28205013610422613,2.0,greenway,0.0,50.0
149,10000.0,0.28205013610422613,2.0,greenway,0.2,31.0
150,10000.0,0.6261419402435422,2.0,recreation,0.2,27.0
151,10000.0,0.651703646965325,2.0,recreation,0.2,20.0
152,10000.0,0.6261419402435422,2.0,sports,0.0,50.0
153,10000.0,0.6261419402435422,2.0,sports,0.0,50.0
154,10000.0,0.651703646965325,2.0,recreation,0.0,50.0
155,10000.0,0.651703646965325,2.0,sports,0.2,27.0
156,10000.0,0.7611694756895304,2.0,sports,0.0,50.0
157,10000.0,0.3783064391463995,2.0,sports,0.2,32.0
158,10000.0,0.7611694756895304,2.0,sports,0.2,26.0
159,10000.0,0.7611694756895304,2.0,sports,0.6,25.0
160,10000.0,0.3783064391463995,2.0,sports,0.2,26.0
161,10000.0,0.3783064391463995,2.0,sports,0.4,32.0
162,10000.0,0.23421775512397291,2.0,sports,0.0,50.0
163,10000.0,0.6117293873801828,2.0,sports,0.4,29.5
164,10000.0,0.23421775512397291,2.0,recreation,0.2,36.0
165,10000.0,0.23421775512397291,2.0,recreation,0.2,25.0
166,10000.0,0.6117293873801828,2.0,sports,0.2,24.0
167,10000.0,0.6117293873801828,2.0,recreation,0.0,50.0
168,10000.0,0.3470510095357895,2.0,greenway,0.2,23.0
169,10000.0,0.7478197056800129,2.0,greenway,0.0,50.0
170,10000.0,0.3470510095357895,2.0,recreation,0.0,50.0
171,10000.0,0.3470510095357895,2.0,recreation,0.0,50.0
172,10000.0,0.7478197056800129,2.0,greenway,0.2,28.0
173,10000.0,0.7478197056800129,2.0,recreation,0.2,27.0
174,10000.0,0.7233355395495893,2.0,recreation,0.0,50.0
175,10000.0,0.2234787093475461,2.0,recreation,0.0,50.0
176,10000.0,0.7233355395495893,2.0,greenway,0.0,50.0
177,10000.0,0.7233355395495893,2.0,greenway,0.4,26.0
178,10000.0,0.2234787093475461,2.0,recreation,0.2,26.0
179,10000.0,0.2234787093475461,2.0,greenway,0.0,50.0
180,10000.0,0.5139758741483094,2.0,greenway,0.0,50.0
181,10000.0,0.5156488042324783,2.0,greenway,0.4,30.5
182,10000.0,0.5139758741483094,2.0,sports,0.2,29.0
183,10000.0,0.5139758741483094,2.0,sports,0.2,26.0
184,10000.0,0.5156488042324783,2.0,greenway,0.2,26.0
185,10000.0,0.5156488042324783,2.0,sports,0.0,50.0
186,10000.0,0.4343875823542476,2.0,recreation,0.0,50.0
187,10000.0,0.43691334370523693,2.0,recreation,0.4,31.5
188,10000.0,0.4343875823542476,2.0,greenway,0.2,23.0
189,10000.0,0.4343875823542476,2.0,greenway,0.4,29.5
190,10000.0,0.43691334370523693,2.0,recreation,0.0,50.0
191,10000.0,0.43691334370523693,2.0,greenway,0.4,26.0
192,10000.0,0.42926394902169707,2.0,greenway,0.0,50.0
